Player,Status,Pos,labels,X1,X2,g,mp,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Luke Ridnour,Inactive,PG,Combo Guard,-3.195462307,-1.526062007,830,21623,0.431,15.1,0.754,0.16,0.134,0.128,0.331,0.246,0.458,0.507,0.409,0.458,0.454,0.349,0.292,0,0,0.675,0.319,0.391,7,0,7.1,16.4,1.4,4,5.6,12.3,3.1,3.6,0.862,0.9,3.6,4.5,8.9,2,0.4,3.2,4.3,18.6,108,111,13.9,0.519,0.22,1.9,8.3,5,27.5,2,0.6,15.3,18.3,24.6,11.4,36,0.08,0.3,-1.3,-0.9,5.8
Luke Walton,Inactive,SF,Shooting Wing,-0.50597508,-0.447686534,564,9685,0.429,12.2,0.772,0.298,0.164,0.109,0.202,0.228,0.459,0.582,0.406,0.363,0.372,0.326,0.659,0.018,41,0.967,0.446,0.341,5,0,5.6,13.1,1,3,4.6,10.1,2,2.7,0.715,2.6,5.9,8.5,7,1.7,0.5,3.2,4.3,14.1,103,108,11.7,0.495,0.209,5.7,13,9.4,20.2,1.7,0.8,18.2,15.1,4.9,8.6,13.5,0.067,-1.4,0.1,-1.2,1.9
Luol Deng,Active,SF,3-and-D Wing,0.274764511,1.291894408,879,30536,0.455,12.3,0.826,0.311,0.126,0.091,0.297,0.174,0.481,0.64,0.393,0.342,0.395,0.332,0.638,0.037,396,0.958,0.416,0.373,22,1,8.6,19,1.1,3.3,7.5,15.7,4.1,5.4,0.77,2.5,6.7,9.2,3.4,1.5,0.7,2.5,2.5,22.5,107,105,15.4,0.527,0.282,5.4,14.7,10.1,11.2,1.5,1.1,10.3,20.7,34.3,38.9,73.2,0.115,0.2,0.7,0.9,22.5
Malcolm Brogdon,Active,SG,Combo Guard,-2.619292934,-0.916494314,75,1982,0.457,11.6,0.696,0.406,0.118,0.083,0.088,0.304,0.48,0.562,0.333,0.396,0.375,0.404,0.415,0.039,24,0.897,0.244,0.489,1,0,7.4,16.3,2,4.9,5.4,11.3,2.8,3.2,0.865,1.2,4.3,5.5,8.1,2.2,0.3,2.9,3.6,19.7,111,111,14.9,0.555,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.6,-1.1,-0.5,0.8
Malcolm Delaney,Active,PG,Combo Guard,-3.20420608,-1.012713108,73,1248,0.374,17.6,0.716,0.121,0.067,0.07,0.459,0.284,0.428,0.426,0.269,0.296,0.472,0.236,0.235,0.005,2,0.885,0.309,0.147,2,0,5.7,15.3,1,4.3,4.7,11,3,3.7,0.806,0.4,4.5,4.9,7.6,1.5,0,3.8,4.4,15.4,92,109,7.5,0.456,0.24,0.9,9.8,5.4,23.1,1.5,0.1,18.1,18.3,-1.2,1.3,0.1,0.005,-4.6,-1.3,-5.9,-1.2
Manny Harris,Active,SG,Shooting Wing,-1.287278773,0.326013364,93,1594,0.38,12.6,0.714,0.319,0.176,0.055,0.164,0.286,0.39,0.557,0.261,0.31,0.233,0.353,0.356,0.017,9,0.811,0.14,0.381,0,0,6.4,16.9,1.7,4.8,4.7,12.1,4,5.4,0.738,1.8,6.3,8.2,4.2,1.6,0.5,3.3,3.4,18.6,95,111,10.7,0.481,0.321,4,14.4,9,13.3,1.6,0.7,14.5,19.8,-0.6,0.7,0.1,0.004,-2.8,-1.4,-4.2,-0.9
Manu Ginobili,Active,SG,Scoring Wing,-1.899277307,0.020433214,992,25560,0.447,14,0.606,0.291,0.136,0.076,0.102,0.394,0.497,0.621,0.408,0.388,0.346,0.37,0.394,0.018,152,0.805,0.202,0.388,32,0,9,20.2,2.9,8,6.1,12.2,6.7,8.2,0.826,1.4,6,7.3,7.9,2.8,0.6,4.1,4.3,27.8,113,100,20.6,0.583,0.404,3.1,12.8,8.1,24.8,2.8,0.9,14.8,24.6,58.4,45.8,104.2,0.196,3.9,1.3,5.2,46.8
Marc Gasol,Active,C,Scoring Center,2.277362532,-0.658347445,643,21721,0.496,9.5,0.954,0.256,0.321,0.2,0.177,0.046,0.503,0.688,0.455,0.427,0.412,0.347,0.627,0.046,314,0.966,0.021,0.286,20,1,8.7,17.6,0.3,0.8,8.4,16.8,5.5,7.1,0.772,2.9,9,11.8,5,1.4,2.4,3.1,4.6,23.2,112,103,18.8,0.561,0.404,6.4,20.3,13.2,16.2,1.4,3.7,13.1,20.6,37.8,31.7,69.5,0.154,0.8,2.9,3.7,31.2
Marcelo Huertas,Active,PG,Floor General,-3.125294277,-2.617966762,76,1106,0.409,13.1,0.732,0.174,0.282,0.185,0.091,0.268,0.468,0.615,0.44,0.418,0.37,0.25,0.275,0,0,0.75,0.125,0.1,6,0,5.5,13.4,0.9,3.6,4.6,9.8,1.6,2.1,0.783,0.9,4.2,5.1,10.6,1.6,0.4,4.5,4.1,13.5,95,114,10.1,0.471,0.154,1.9,9.5,5.6,33.2,1.6,0.6,23.7,16.5,-0.5,0.2,-0.2,-0.01,-3.4,-2.8,-6.2,-1.2
Marcin Gortat,Active,C,Supporting Center,3.84567535,-0.367666235,677,17865,0.556,5.8,0.996,0.46,0.306,0.172,0.058,0.004,0.557,0.718,0.434,0.405,0.375,0.15,0.751,0.08,399,1,0,0,1,0,8.6,15.4,0,0.1,8.6,15.4,2.8,4.2,0.679,4.3,11.4,15.7,2,1,2.3,2.3,4.3,20,114,103,17.5,0.579,0.272,9.6,25.5,17.6,6.2,1,3.5,11.8,17.3,29.1,25.9,55,0.148,-1,1.8,0.9,12.8
