PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Total Min,First Player,Second Player,Third Player,Fourth Player,Fifth Player
14.924999999999999,5.6,11.275,49.475,1.6750000000000003,3.6500000000000004,44.849999999999994,2.125,2.95,72.95,1.225,4.25,5.5,3.275,1.975,1.05,0.875,0.625,2.5,2.425,0.3499999999999999,505.7,Combo Guard,Scoring Wing,Shooting Wing,3-and-D Wing,Supporting Center
15.3,5.9,14.0,41.9,1.2,3.6,32.5,2.4,3.1,76.4,1.7,6.4,8.1,3.4,2.5,1.1,1.4,1.1,2.4,2.7,0.3,181.70000000000002,Floor General,Shooting Wing,Versatile Forward,Scoring Center,Supporting Center
12.466666666666667,4.933333333333334,10.433333333333334,46.86666666666667,0.6666666666666666,2.066666666666667,31.3,1.9000000000000001,2.4666666666666663,78.39999999999999,1.5333333333333332,3.766666666666666,5.3,1.9333333333333333,1.4000000000000001,0.6666666666666666,0.5,0.39999999999999997,2.266666666666667,2.066666666666667,0.3,230.9,Combo Guard,Shooting Wing,3-and-D Wing,3-and-D Wing,Supporting Center
15.091666666666667,5.741666666666666,12.1,46.44166666666666,1.4083333333333334,3.8249999999999997,36.30833333333333,2.2416666666666663,3.033333333333333,72.875,1.5166666666666673,4.833333333333334,6.349999999999999,3.2166666666666663,1.816666666666667,0.9416666666666668,0.75,0.6166666666666668,2.566666666666667,2.4833333333333334,0.20833333333333334,1541.9000000000003,Combo Guard,Shooting Wing,Shooting Wing,3-and-D Wing,Supporting Center
15.24,5.84,12.240000000000002,47.42,1.2599999999999998,3.520000000000001,36.980000000000004,2.34,2.98,81.16,1.46,4.779999999999999,6.22,3.2399999999999998,2.1599999999999997,1.1800000000000002,0.7399999999999999,0.7399999999999999,2.9200000000000004,2.6599999999999997,0.2,1092.5,Combo Guard,Scoring Wing,3-and-D Wing,Versatile Forward,Scoring Center
14.97777777777778,5.7,12.122222222222222,46.77777777777778,1.2888888888888888,3.8444444444444446,32.86666666666666,2.3111111111111113,3.0999999999999996,74.58888888888889,1.2666666666666666,4.811111111111111,6.0888888888888895,3.6555555555555554,1.9777777777777783,1.222222222222222,0.7111111111111111,0.7222222222222222,2.466666666666667,2.7666666666666666,0.16666666666666669,1619.5,Combo Guard,Shooting Wing,3-and-D Wing,Versatile Forward,Scoring Center
23.0,8.35,19.0,43.15,2.05,4.95,41.85,4.25,5.35,79.0,2.1500000000000004,8.25,10.4,4.6,3.05,1.65,0.44999999999999996,1.25,4.9,4.35,0.15,153.0,Scoring Wing,3-and-D Wing,3-and-D Wing,3-and-D Wing,Scoring Center
13.9,5.0,12.2,40.8,1.4,4.9,28.7,2.6,3.2,80.2,1.1,4.7,5.8,2.3,1.8,1.3,0.7,0.5,3.4,2.9,0.1,252.0,Combo Guard,Scoring Wing,Scoring Wing,3-and-D Wing,Supporting Center
6.550000000000001,2.45,4.7,52.45,0.55,1.5,39.75,1.15,1.65,71.3,0.55,2.0,2.5999999999999996,1.7,1.0499999999999998,0.30000000000000004,0.3,0.25,1.15,1.25,0.0,145.39999999999998,Scoring Wing,Shooting Wing,Shooting Wing,3-and-D Wing,Supporting Center
12.8,4.6,9.9,46.6,1.1,3.3,33.3,2.4,2.7,89.8,1.0,3.7,4.7,3.2,1.9,1.1,0.6,0.6,2.4,2.2,0.0,102.60000000000001,Floor General,Shooting Wing,Shooting Wing,Scoring Center,Scoring Center
