,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
47,MEM,10,11,20.9,7.9,19,41.6,1.5,4.9,30.6,3.6,5.1,70.6,2,8.2,10.2,4.4,3,2,1.2,1.2,5.5,4.1,-1.8,T.Allen, M.Gasol, J.Green, A.Harrison, T.Williams
48,IND,55,11,24,9,18.5,48.8,1.9,4.7,40.6,4,4.9,82.2,1.6,7.5,9.1,5.6,3.6,2.1,1.7,1.1,4.2,4.8,-0.3,M.Ellis, P.George, J.Teague, M.Turner, T.Young
49,DEN,8,11,27.3,10,20.8,48.2,2.4,6.6,35.8,4.9,5.6,86.7,3.3,8.4,11.6,6.9,3.1,1.5,0.9,1.1,2.6,5.5,3,K.Faried, D.Gallinari, G.Harris, N.Jokic, J.Nelson
50,UTA,14,10.9,20.9,7.9,17.1,46.3,1.8,4.4,40.3,3.3,4.4,74.2,1.7,7.7,9.4,5.3,3.6,1.4,1.1,0.9,2.9,4.6,-0.4,D.Favors, R.Gobert, G.Hayward, G.Hill, R.Hood
51,PHX,19,10.8,24.3,9.7,20.3,47.9,1.4,4.4,31,3.4,4.4,77.4,2.4,7.4,9.7,4.9,3.4,1.7,1.4,1.4,4.7,4,-3.1,E.Bledsoe, D.Booker, M.Chriss, A.Len, T.Warren
52,TOR,10,10.8,24.8,9.2,19.3,47.7,1.5,4.6,32.6,4.9,5.9,83.1,3,8,11,4.6,2.8,2.1,1.4,1.2,4.2,4.5,2.7,D.Carroll, D.DeRozan, K.Lowry, L.Nogueira, J.Valanciunas
53,POR,11,10.7,22.1,9.1,20.5,44.4,1.8,5.6,32.3,2.1,3.2,65.7,2.9,7.3,10.2,5.1,3.3,2.4,0.2,1.2,3.7,3.5,0.4,D.Lillard, C.McCollum, M.Plumlee, E.Turner, N.Vonleh
54,LAL,13,10.5,22.4,8.6,19.8,43.6,3,7.2,41.5,2.2,3.3,65.1,3,7.2,10.2,4.8,4,1.8,0.9,1.5,4.5,2.7,-3.1,T.Black, B.Ingram, J.Randle, D.Russell, N.Young
55,NOP,18,10.5,22.8,8.8,18.9,46.3,2.8,6.2,45.9,2.4,3.2,77.2,1.6,7.8,9.4,5.2,2.7,2.3,0.9,1.2,3.1,3.4,2.3,D.Cunningham, A.Davis, B.Hield, S.Hill, J.Holiday
56,SAC,14,10.3,21.7,7.9,17.7,44.8,1.5,4,37.5,4.4,5.3,82.4,1.7,8,9.7,4.5,2.4,1.8,0.7,1.6,4,4.6,0.5,A.Afflalo, D.Cousins, R.Gay, K.Koufos, T.Lawson
57,ATL,20,10.3,20.3,8.2,18.9,43.1,1.7,5.3,32.4,2.3,3.6,64.8,2.6,7,9.5,5.4,3.6,2.1,1.1,1.3,3.6,4.1,-1.9,K.Bazemore, D.Howard, K.Korver, P.Millsap, D.Schroder
