Player,School,Pos,labels,X1,X2,Status,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Simi Socks,Incarnate Word,Forward,Shooting Wing,-0.533548853,-0.182525046,Active,57,1250,8.2,17.7,0.46,6.7,13.8,0.487,1.5,4,0.367,7.5,8.9,0.842,8.3,1.9,1.6,1.3,4.5,8.5,25.3,104.7,108.2,15.4,0.576,0.501,0.224,0.505,538,4.6,12.2,8.5,7.1,1.6,2.3,16.8,23.8,1.8,1.1,2.9,0.093,-2.5,-2.4,-4.8
Simon Krajcovic,Loyola Marymount,Guard,Game Manager,2.208444691,-0.816268268,Inactive,17,256,4.5,10.2,0.439,3.5,7.2,0.483,1,3,0.333,1.5,3,0.5,7,8.9,3.2,0,7.5,6.7,11.4,80.8,111.9,8.2,0.493,0.488,0.293,0.293,59,3.8,9.8,6.7,29.8,3.2,0,39.1,16.1,-0.2,0.1,-0.1,-0.018,-3,-1.6,-4.5
Simon Krych,Nebraska-Omaha,Forward,Versatile Forward,-1.529754275,0.385942208,Inactive,45,340,5.5,11.2,0.493,5.5,10.8,0.507,0,0.3,0,2.9,6.8,0.429,9.9,0.5,0.6,1.3,1.1,4.7,13.9,105.2,112.2,10.7,0.483,0.493,0.029,0.609,86,8,13,10.5,1.5,0.6,2.3,7.3,13.7,0.3,0.1,0.4,0.051,-4.2,-3.7,-7.9
Simon McCormack,American,Guard,Scoring Wing,-0.877289488,-0.500126825,Inactive,98,1677,5.7,11.6,0.494,5.7,11.6,0.494,0,0,0,2.6,4.2,0.614,10.3,4.7,1,0.1,4.2,8,14,95.7,104.1,9.5,0.516,0.494,0,0.368,410,6.2,13.8,10,16.3,1,0.2,23.8,15.6,0.9,1.7,2.6,0.061,-3.3,0.2,-3.2
Simuel Frazier,Howard,Guard,Game Manager,2.647951813,-1.043624861,Inactive,58,1707,5.8,15.8,0.368,4.2,10.2,0.408,1.7,5.6,0.297,4.6,7,0.656,5.9,7.7,2.7,0.1,7.5,4.8,17.9,83.8,102.9,9.8,0.468,0.421,0.355,0.446,532,2.1,10.5,5.9,32.3,2.7,0.2,28.1,22.4,-1,1.8,0.8,0.019,-3.2,-2,-5.2
Sindarius Thornwell,South Carolina,Guard,Swingman,1.056866164,0.307464433,Active,132,4194,8.3,21.2,0.392,5.8,13.8,0.42,2.5,7.3,0.34,7.9,10.3,0.771,9.5,5.4,2.8,1.1,4.6,4.5,27,108,97.1,19.2,0.519,0.451,0.347,0.486,1927,5.7,13,9.3,20.5,2.8,2.2,15,25.8,8.2,7.9,16.1,0.154,4,3.8,7.8
Sir Washington,Eastern Washington,Guard,Shooting Wing,0.133085473,0.534502999,Active,89,1650,5.2,12.6,0.415,4.1,8.9,0.457,1.2,3.7,0.314,4.9,6.8,0.715,8.4,3.5,1.5,0.5,2.8,7.2,16.5,108.4,111.6,11.8,0.52,0.461,0.292,0.538,512,5.5,11.6,8.6,10.1,1.5,0.8,15.2,16.5,2.3,0.9,3.1,0.075,-1.4,-2.5,-3.9
Sir'Dominic Pointer,St. John's (NY),Guard,Scoring Wing,-0.425193128,-0.613351435,Inactive,130,3660,6.6,13.8,0.477,6.2,12,0.518,0.3,1.8,0.193,4,5.8,0.681,11,4.8,3.2,2.8,3.5,6,17.5,104.2,97,17.7,0.527,0.489,0.128,0.423,1130,4.8,16.1,10.4,16.1,3.2,5,17.6,17.3,4.5,6.4,10.9,0.119,1.1,5.5,6.6
Siyani Chambers,Harvard,Guard,Game Manager,3.032987583,-0.781353086,Active,119,4140,5.9,15.3,0.387,3.5,8.8,0.401,2.4,6.5,0.368,5.2,6.5,0.795,4.4,9,2.5,0,4.5,2.7,19.4,106.7,100.8,14.9,0.527,0.465,0.425,0.423,1454,1.5,7.3,4.5,29.7,2.5,0.1,19.7,20,6.6,6,12.7,0.123,1.4,-0.7,0.7
Skal Labissiere,Kentucky,Forward,Defensive Big,-3.782062681,-3.196044754,Inactive,36,567,10.1,19.6,0.516,10.1,19.4,0.521,0,0.2,0,4.2,6.4,0.661,11.7,1.1,0.9,6.1,3.4,11.2,24.5,107.8,96.9,18.5,0.54,0.516,0.011,0.326,214,7.3,14.6,11.1,3.6,0.9,10.3,13.1,22.1,0.9,1.1,2,0.142,-0.4,5.6,5.2
Skye Johnson,Delaware,Forward,Scoring Wing,-2.022660657,-0.574288584,Active,62,656,6.1,11.9,0.515,6.1,11.9,0.515,0,0,0,3.3,5.9,0.563,12.8,1.6,1.9,1.7,6,8.7,15.6,87.1,108.7,10.5,0.53,0.515,0,0.492,178,10,13.8,11.9,5.9,1.9,3.5,29.2,18,-0.2,0.5,0.3,0.017,-5.3,0.3,-5
Skylar Jones,Niagara,Guard,Shooting Wing,-0.077297642,0.302329571,Inactive,48,681,5.5,17.9,0.306,3.3,9.4,0.345,2.2,8.5,0.263,2.5,3.9,0.644,8.2,0.9,1.7,0.9,2.8,8.1,15.7,82.9,106.9,6.5,0.397,0.368,0.474,0.215,174,5.8,9.9,7.7,3.4,1.7,1.5,12.5,19.3,-0.4,0.5,0.1,0.008,-5.2,-3,-8.2
Skylar Mays,Louisiana State,Guard,Game Manager,2.865815468,-0.475439417,Active,31,711,6.5,15.6,0.414,4.8,10.7,0.453,1.6,4.9,0.328,5.3,6.5,0.812,5.3,8.7,3.1,0.2,5.3,4.2,19.8,103.1,114.3,15.4,0.53,0.466,0.315,0.419,290,2.4,8.3,5.3,27.9,3.1,0.3,22.1,20.7,0.9,0.2,1.1,0.06,2.3,-1,1.4
